Geography,Geography type,Year,Less Than High School Graduate,High School Graduate,Some College or Associate's Degree,Bachelor's Degree or Higher,Location 1
Atherton,Town,01/01/2014 12:00:00 AM,13.6,12.3,2.7,3.5,"(37.458611, -122.2)"
Colma,Town,01/01/2014 12:00:00 AM,6.3,6.4,10.4,2.4,"(37.678889, -122.455556)"
Foster City,City,01/01/2014 12:00:00 AM,11.9,9.7,2,2.9,"(37.551389, -122.266389)"
Portola Valley,Town,01/01/2014 12:00:00 AM,48.1,0,0,1.8,"(37.375, -122.218611)"
Redwood City,City,01/01/2014 12:00:00 AM,16.4,10.6,6.6,3,"(37.482778, -122.236111)"
Ladera,CDP,01/01/2014 12:00:00 AM,0,0,0,0,"(37.319167, -122.274167)"
Moss Beach,CDP,01/01/2014 12:00:00 AM,4.8,8.2,9.3,3.5,"(37.525278, -122.512778)"
South San Francisco,City,01/01/2014 12:00:00 AM,14.2,7.8,4.4,4.1,"(37.656111, -122.425556)"
Belmont,City,01/01/2014 12:00:00 AM,20.9,5.9,5,3.6,"(37.518056, -122.291667)"
Daly City,City,01/01/2014 12:00:00 AM,13.4,8.9,6.1,6.1,"(37.686389, -122.468333)"
San Mateo,City,01/01/2014 12:00:00 AM,16.1,9.6,6.5,3.4,"(37.554167, -122.313056)"
North Fair Oaks,CDP,01/01/2014 12:00:00 AM,26.7,13.4,18.5,4.6,"(37.475278, -122.203611)"
Emerald Lake Hills,CDP,01/01/2014 12:00:00 AM,6.2,2,4.1,2.2,"(37.464444, -122.266389)"
Hillsborough,Town,01/01/2014 12:00:00 AM,31.1,6.1,1.5,1.4,"(37.560278, -122.356389)"
Brisbane,City,01/01/2014 12:00:00 AM,0,1.7,11.5,3.3,"(37.680833, -122.419167)"
Menlo Park,City,01/01/2014 12:00:00 AM,22.1,12,8.7,2.9,"(37.452778, -122.183333)"
Pacifica,City,01/01/2014 12:00:00 AM,15.1,4.3,4.3,4.6,"(37.622778, -122.485556)"
San Carlos,City,01/01/2014 12:00:00 AM,8.5,8.4,4.4,2.3,"(37.4955, -122.2668)"
Highlands-Baywood Park,CDP,01/01/2014 12:00:00 AM,15.7,13.6,10.2,3.3,"(37.525, -122.343333)"
East Palo Alto,City,01/01/2014 12:00:00 AM,18.3,16.4,17.2,9.1,"(37.466944, -122.139722)"
Broadmoor,CDP,01/01/2014 12:00:00 AM,21.2,8,3,2.4,"(37.6925, -122.478889)"
Millbrae,City,01/01/2014 12:00:00 AM,7,7.8,5.3,3.7,"(37.600833, -122.401389)"
Loma Mar,CDP,01/01/2014 12:00:00 AM,100,0,0,0,"(37.271111, -122.3075)"
Woodside,Town,01/01/2014 12:00:00 AM,0,9.4,6.8,3.2,"(37.420833, -122.259722)"
Half Moon Bay,City,01/01/2014 12:00:00 AM,9.5,4,0.7,1.4,"(37.458889, -122.436944)"
San Bruno,City,01/01/2014 12:00:00 AM,7.7,7.7,7,3,"(37.625278, -122.425278)"
Pescadero,CDP,01/01/2014 12:00:00 AM,44.4,0,0,0,"(37.255, -122.381389)"
El Granada,CDP,01/01/2014 12:00:00 AM,9.2,4.3,9.1,2.4,"(37.503889, -122.473333)"
West Menlo Park,CDP,01/01/2014 12:00:00 AM,37.8,0,5.7,3.6,"(37.433611, -122.203056)"
Montara,CDP,01/01/2014 12:00:00 AM,3.3,0,0,0,"(37.539722, -122.506389)"
Burlingame,City,01/01/2014 12:00:00 AM,20.1,8.3,7.4,3.7,"(37.583333, -122.363611)"
La Honda,CDP,01/01/2014 12:00:00 AM,0,0,11.9,0,"(37.399444, -122.197222)"
